category_group,category_mid,liquidity_quintile,liquidity_quintile_label,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,median_volume_contracts,median_open_interest_contracts
Finance,S&P 500,2,Q2 Low-Mid,2503,20,0.044198961246504194,-0.01127846584099081,-0.033110761979575805,0.028349206349206357,325.0,281.0
Finance,S&P 500,3,Q3 Mid,3368,20,0.04462292161520191,-0.006588479809976232,-0.03165377751338489,0.0344191343963554,909.5,650.0
Finance,S&P 500,4,Q4 Mid-High,5899,20,0.039555856924902544,-0.004783861671469728,-0.028045425463851567,0.032351339083068587,2893.0,1800.0
Finance,S&P 500,5,Q5 Highest,9305,20,0.027673293927995713,-0.005493820526598586,-0.020149365197908886,0.024340385812072225,17005.0,7736.0
Sports,Golf,5,Q5 Highest,1831,13,0.016832332058984153,-0.015182960131075922,-0.013021582733812952,0.010863309352517891,34722.0,28778.0
Sports,MLB,5,Q5 Highest,4966,14,0.012492952074103985,-0.002581554571083286,-0.012449704142011834,0.009680497925311369,76723.5,47720.0
Sports,NBA,1,Q1 Lowest,1608,20,0.06404850746268657,-0.05981965174129353,-0.04096969696969697,-0.02909090909090907,140.0,139.5
Sports,NBA,2,Q2 Low-Mid,1655,20,0.03389728096676737,-0.028870090634441088,-0.0182367758186398,0.009571428571428555,307.0,304.0
Sports,NBA,3,Q3 Mid,1767,20,0.02988681380871534,-0.022484436898698362,-0.014012282497441148,0.006774193548387092,826.0,786.0
Sports,NBA,4,Q4 Mid-High,2365,20,0.0186596194503171,-0.009822410147991569,-0.012560060060060057,0.01029900332225906,2631.0,2200.0
Sports,NBA,5,Q5 Highest,3514,20,0.014285714285714261,-0.0034547524188958735,-0.011646090534979425,0.010135211267605578,27279.5,18086.5
Sports,NCAA Basketball,1,Q1 Lowest,2016,12,0.01180059523809526,-0.002842261904761884,-0.01029011786038078,0.009100998890122133,200.0,200.0
Sports,NCAA Basketball,2,Q2 Low-Mid,4268,12,0.011961105904404851,-0.00685332708528587,-0.011565557729941292,0.006145151695419337,266.0,258.0
Sports,NCAA Basketball,3,Q3 Mid,1874,15,0.009642475987193134,-0.009002134471718215,-0.00672645739910314,-0.005292887029288634,813.5,729.5
Sports,NCAA Basketball,4,Q4 Mid-High,2777,16,0.012189413035649993,-0.0023082463089665016,-0.00862313139260425,0.007267165193745769,1800.0,1700.0
Sports,NCAA Basketball,5,Q5 Highest,1884,16,0.01402866242038214,-0.008147558386411917,-0.011341463414634148,0.006129441624365419,48680.0,36862.0
Sports,NCAA Football,2,Q2 Low-Mid,2605,20,0.03663723608445295,-0.028852207293666055,-0.012165775401069518,0.011060948081264033,345.0,332.0
Sports,NCAA Football,3,Q3 Mid,2959,20,0.038820547482257495,-0.026228455559310596,-0.010315315315315314,0.009668386145910047,887.0,791.0
Sports,NCAA Football,4,Q4 Mid-High,4075,20,0.026586503067484668,-0.019352147239263796,-0.011998958875585634,0.007074327886136016,2632.0,2155.0
Sports,NCAA Football,5,Q5 Highest,5250,20,0.01664761904761906,-0.0069333333333333235,-0.011651592607156902,0.008879044684129454,20934.0,15562.5
Sports,NFL,1,Q1 Lowest,75917,20,0.028910125531830814,-0.02886138809489311,-0.019112313465398375,-0.0076183431952662715,143.0,142.0
Sports,NFL,2,Q2 Low-Mid,68205,20,0.023235979766879265,-0.023169122498350566,-0.013319945465934633,-0.020713266761768854,322.0,317.0
Sports,NFL,3,Q3 Mid,54858,20,0.0178054249152357,-0.0178054249152357,-0.009805116776998536,-0.015339805825242712,813.0,798.0
Sports,NFL,4,Q4 Mid-High,29308,20,0.019202265593012142,-0.019122423911559983,-0.00981267770530189,-0.0007238229093464663,2133.0,2060.0
Sports,NFL,5,Q5 Highest,9819,20,0.023776351970669136,-0.0185762297586312,-0.015518823157228722,0.006818535825545266,13210.0,11720.0
Sports,NHL,5,Q5 Highest,1452,15,0.014621212121212144,-0.0024999999999999805,-0.012377622377622379,0.009470013947001435,104830.5,72966.0
Sports,Soccer,5,Q5 Highest,3572,14,0.012793952967525207,-0.005610302351623728,-0.012170439414114515,0.009869230769230804,30125.5,18473.5
Sports,Tennis,5,Q5 Highest,5240,20,0.01579198473282443,-0.005963740458015263,-0.01440377358490566,0.009551409289400566,73632.0,42564.5
Weather,High Temp,1,Q1 Lowest,1370,20,0.03038686131386861,-0.023394160583941604,-0.018314703353396387,-0.13547619047619047,150.0,140.0
Weather,High Temp,2,Q2 Low-Mid,2442,20,0.028112203112203103,-0.012272727272727272,-0.018061116965226554,-0.025887096774193458,350.0,300.0
Weather,High Temp,3,Q3 Mid,5742,20,0.024378265412748165,-0.007603622431208646,-0.015291884195538683,0.009925037481259325,905.0,661.5
Weather,High Temp,4,Q4 Mid-High,8843,20,0.01566549813411738,-0.007919258170304198,-0.012741725682902156,0.012749226006191942,2624.0,1748.0
Weather,High Temp,5,Q5 Highest,10148,19,0.01152837997635003,-0.005042372881355924,-0.010773427908880098,0.010659697188175953,14066.5,8204.5
